Date,Open,High,Low,Close,Adj Close,Volume
2019-07-26,1.704222,1.833167,1.261695,1.327436,1.327436,12088575
2019-07-27,1.327436,1.402898,1.221938,1.310566,1.310566,6033446
2019-07-28,1.310566,1.368595,1.236858,1.272989,1.272989,1643709
2019-07-29,1.262270,1.375941,1.175443,1.294661,1.294661,3966802
2019-07-30,1.294435,1.374333,1.266484,1.294193,1.294193,1820705
2019-07-31,1.285383,1.328408,1.265267,1.300102,1.300102,1155167
2019-08-01,1.296501,1.359368,1.275322,1.277984,1.277984,884021
2019-08-02,1.275814,1.353228,1.214966,1.267515,1.267515,1356086
2019-08-03,1.266759,1.280283,1.242452,1.260598,1.260598,453826
2019-08-04,1.260728,1.262852,1.193687,1.246172,1.246172,459244
2019-08-05,1.245987,1.283797,1.157725,1.189715,1.189715,1349148
2019-08-06,1.188767,1.276295,1.054383,1.151045,1.151045,3368956
2019-08-07,1.150821,1.162882,1.074016,1.113777,1.113777,1486227
2019-08-08,1.113777,1.229501,1.101598,1.201073,1.201073,2315297
2019-08-09,1.203592,1.284628,1.192226,1.218385,1.218385,2464328
2019-08-10,1.218385,1.219132,1.091341,1.135121,1.135121,368141
2019-08-11,1.135987,1.293552,1.086923,1.274126,1.274126,1132766
2019-08-12,1.274621,1.390052,1.142531,1.283668,1.283668,998899
2019-08-13,1.281248,1.420319,1.119127,1.386630,1.386630,1803284
2019-08-14,1.386473,1.419507,1.253862,1.304455,1.304455,1728173
2019-08-15,1.304455,1.357462,1.236986,1.320667,1.320667,1356818
2019-08-16,1.320523,1.332279,1.195683,1.295352,1.295352,591424
2019-08-17,1.295528,1.367662,1.234901,1.317028,1.317028,546837
2019-08-18,1.317080,1.334148,1.216852,1.303100,1.303100,321801
2019-08-19,1.311936,1.356465,1.208457,1.313294,1.313294,2010263
2019-08-20,1.313294,2.060930,1.223061,1.260043,1.260043,1210425
2019-08-21,1.259977,1.332083,1.217472,1.295850,1.295850,3356431
2019-08-22,1.295902,1.296636,1.169965,1.222157,1.222157,2135163
2019-08-23,1.222157,1.229646,1.147925,1.183878,1.183878,1760916
2019-08-24,1.183827,1.185061,1.115440,1.169629,1.169629,1146409
2019-08-25,1.169629,1.262643,1.122228,1.236132,1.236132,1800194
2019-08-26,1.238740,1.256968,1.164732,1.173437,1.173437,1391334
2019-08-27,1.173558,1.228514,1.126747,1.158680,1.158680,2017929
2019-08-28,1.158398,1.188416,1.108526,1.120515,1.120515,2265633
2019-08-29,1.120397,1.191947,1.104951,1.147149,1.147149,1913203
2019-08-30,1.147149,1.185286,1.136572,1.168323,1.168323,2300788
2019-08-31,1.168981,1.187353,1.141653,1.174294,1.174294,3991012
2019-09-01,1.173598,1.177177,1.146032,1.159169,1.159169,6171179
2019-09-02,1.159168,1.169448,1.143586,1.156888,1.156888,6692015
2019-09-03,1.156547,1.243003,1.110371,1.232597,1.232597,16167679
2019-09-04,1.232113,1.232509,1.132646,1.177957,1.177957,1482794
2019-09-05,1.177820,1.190473,1.147310,1.160801,1.160801,1016782
2019-09-06,1.160801,1.185879,1.132595,1.133196,1.133196,2075319
2019-09-07,1.133428,1.169357,1.055637,1.163801,1.163801,1737239
2019-09-08,1.163391,1.172456,1.150102,1.154355,1.154355,926440
2019-09-09,1.154355,1.157475,1.100108,1.114351,1.114351,1702167
2019-09-10,1.114741,1.119922,1.045548,1.091594,1.091594,1254315
2019-09-11,1.091496,1.098128,1.054610,1.063767,1.063767,1598164
2019-09-12,1.063767,1.068265,1.049650,1.064888,1.064888,849827
2019-09-13,1.064939,1.065328,1.050174,1.057310,1.057310,767689
2019-09-14,1.056994,1.066346,1.055102,1.060435,1.060435,737729
2019-09-15,1.060427,1.067347,1.049734,1.054116,1.054116,705183
2019-09-16,1.054081,1.055711,1.004340,1.013854,1.013854,908818
2019-09-17,1.011844,1.061422,0.992990,1.046056,1.046056,1343386
2019-09-18,1.046031,1.056404,1.041813,1.042980,1.042980,722895
2019-09-19,1.043554,1.043554,0.981857,0.996139,0.996139,1112326
2019-09-20,0.990104,1.820274,0.974674,0.987311,0.987311,762875
2019-09-21,0.986791,0.987768,0.966214,0.971173,0.971173,489676
2019-09-22,0.971065,0.972718,0.932716,0.972718,0.972718,620521
2019-09-23,0.972529,0.982418,0.946250,0.960497,0.960497,740906
2019-09-24,0.960314,0.969895,0.825735,0.825735,0.825735,951554
2019-09-25,0.826322,0.849534,0.820752,0.842514,0.842514,1227715
2019-09-26,0.842332,0.847726,0.802627,0.819237,0.819237,928236
2019-09-27,0.825129,0.832148,0.810676,0.827030,0.827030,884277
2019-09-28,0.827083,0.845306,0.823720,0.836082,0.836082,626666
2019-09-29,0.836365,0.846136,0.817657,0.835145,0.835145,558986
2019-09-30,0.835145,1.027535,0.824228,1.025131,1.025131,1519589
2019-10-01,1.028346,1.076176,0.901167,0.901167,0.901167,2180008
2019-10-02,0.901167,0.904285,0.817664,0.829535,0.829535,1716771
2019-10-03,0.829535,0.834046,0.765337,0.765337,0.765337,1802224
2019-10-04,0.765317,0.779500,0.703242,0.709685,0.709685,1705397
2019-10-05,0.709685,0.720247,0.674949,0.720247,0.720247,1267300
2019-10-06,0.718510,0.744523,0.694825,0.711387,0.711387,776542
2019-10-07,0.710930,0.712120,0.675988,0.708239,0.708239,978814
2019-10-08,0.708912,0.719575,0.692445,0.701795,0.701795,596378
2019-10-09,0.701795,0.706474,0.692259,0.694933,0.694933,517361
2019-10-10,0.694986,0.752325,0.687180,0.730697,0.730697,1342525
2019-10-11,0.730872,0.739799,0.706252,0.713203,0.713203,896196
2019-10-12,0.712665,0.723144,0.700471,0.704599,0.704599,914961
2019-10-13,0.706217,0.721377,0.704940,0.709049,0.709049,712802
2019-10-14,0.709049,0.710933,0.666008,0.671183,0.671183,1646719
2019-10-15,0.671871,0.671878,0.589327,0.596644,0.596644,1300917
2019-10-16,0.596644,0.598356,0.538839,0.552323,0.552323,968147
2019-10-17,0.552283,0.579429,0.547838,0.561047,0.561047,1084938
2019-10-18,0.561542,0.565645,0.528064,0.533965,0.533965,927023
2019-10-19,0.533942,0.546086,0.530078,0.531611,0.531611,614639
2019-10-20,0.531679,0.536500,0.524820,0.531109,0.531109,587339
2019-10-21,0.532004,0.538843,0.491773,0.498980,0.498980,1286722
2019-10-22,0.499163,0.499927,0.488567,0.493511,0.493511,517771
2019-10-23,0.493570,0.512589,0.466107,0.479070,0.479070,1000603
2019-10-24,0.479197,0.479801,0.471007,0.473400,0.473400,681689
2019-10-25,0.473400,0.500968,0.467320,0.500968,0.500968,891067
2019-10-26,0.500935,0.513803,0.477967,0.489191,0.489191,617442
2019-10-27,0.489191,0.490958,0.471049,0.485837,0.485837,570716
2019-10-28,0.485790,0.486830,0.459076,0.459477,0.459477,476106
2019-10-29,0.459477,0.480186,0.455451,0.474718,0.474718,512522
2019-10-30,0.474736,0.475796,0.455794,0.460278,0.460278,517733
2019-10-31,0.460196,0.474238,0.460172,0.467088,0.467088,325804
2019-11-01,0.467047,0.469879,0.452222,0.452310,0.452310,583749
